IO_RST_IBUF_inst	IOB_X0Y124	IOB18.INBUF_DCIEN	IBUF
bs_sr[9]_i_1	SLICE_X184Y21	SLICEM.C5LUT	LUT4
bs_sr_reg[0]	SLICE_X182Y23	SLICEM.AFF	FDSE
bs_sr_reg[10]	SLICE_X184Y21	SLICEM.BFF	FDRE
bs_sr_reg[11]	SLICE_X184Y21	SLICEM.B5FF	FDRE
bs_sr_reg[12]	SLICE_X184Y21	SLICEM.AFF	FDRE
bs_sr_reg[13]	SLICE_X183Y21	SLICEL.AFF	FDRE
bs_sr_reg[14]	SLICE_X183Y21	SLICEL.BFF	FDRE
bs_sr_reg[15]	SLICE_X185Y21	SLICEL.AFF	FDRE
bs_sr_reg[16]	SLICE_X188Y19	SLICEM.AFF	FDRE
bs_sr_reg[17]	SLICE_X188Y19	SLICEM.A5FF	FDRE
bs_sr_reg[18]	SLICE_X190Y19	SLICEM.AFF	FDRE
bs_sr_reg[19]	SLICE_X190Y19	SLICEM.A5FF	FDRE
bs_sr_reg[1]	SLICE_X182Y23	SLICEM.BFF	FDRE
bs_sr_reg[20]	SLICE_X190Y19	SLICEM.BFF	FDRE
bs_sr_reg[21]	SLICE_X190Y19	SLICEM.B5FF	FDRE
bs_sr_reg[22]	SLICE_X190Y18	SLICEM.AFF	FDRE
bs_sr_reg[23]	SLICE_X190Y18	SLICEM.A5FF	FDRE
bs_sr_reg[24]	SLICE_X190Y18	SLICEM.BFF	FDRE
bs_sr_reg[25]	SLICE_X190Y18	SLICEM.B5FF	FDRE
bs_sr_reg[26]	SLICE_X190Y18	SLICEM.CFF	FDRE
bs_sr_reg[27]	SLICE_X190Y18	SLICEM.C5FF	FDRE
bs_sr_reg[28]	SLICE_X190Y18	SLICEM.DFF	FDRE
bs_sr_reg[29]	SLICE_X190Y18	SLICEM.D5FF	FDRE
bs_sr_reg[2]	SLICE_X182Y23	SLICEM.CFF	FDSE
bs_sr_reg[30]	SLICE_X186Y17	SLICEM.AFF	FDRE
bs_sr_reg[31]	SLICE_X186Y17	SLICEM.A5FF	FDRE
bs_sr_reg[32]	SLICE_X186Y17	SLICEM.BFF	FDRE
bs_sr_reg[33]	SLICE_X186Y17	SLICEM.B5FF	FDRE
bs_sr_reg[34]	SLICE_X186Y17	SLICEM.CFF	FDRE
bs_sr_reg[35]	SLICE_X186Y17	SLICEM.C5FF	FDRE
bs_sr_reg[36]	SLICE_X188Y18	SLICEM.AFF	FDRE
bs_sr_reg[37]	SLICE_X188Y18	SLICEM.A5FF	FDRE
bs_sr_reg[38]	SLICE_X188Y18	SLICEM.BFF	FDRE
bs_sr_reg[39]	SLICE_X188Y18	SLICEM.B5FF	FDRE
bs_sr_reg[3]	SLICE_X184Y23	SLICEM.AFF	FDRE
bs_sr_reg[40]	SLICE_X188Y18	SLICEM.CFF	FDRE
bs_sr_reg[41]	SLICE_X188Y18	SLICEM.C5FF	FDRE
bs_sr_reg[42]	SLICE_X188Y19	SLICEM.BFF	FDRE
bs_sr_reg[43]	SLICE_X188Y19	SLICEM.B5FF	FDRE
bs_sr_reg[44]	SLICE_X188Y19	SLICEM.CFF	FDRE
bs_sr_reg[45]	SLICE_X188Y19	SLICEM.C5FF	FDRE
bs_sr_reg[46]	SLICE_X188Y19	SLICEM.DFF	FDRE
bs_sr_reg[47]	SLICE_X188Y19	SLICEM.D5FF	FDRE
bs_sr_reg[48]	SLICE_X182Y18	SLICEM.AFF	FDRE
bs_sr_reg[49]	SLICE_X182Y18	SLICEM.A5FF	FDRE
bs_sr_reg[4]	SLICE_X184Y23	SLICEM.BFF	FDRE
bs_sr_reg[50]	SLICE_X182Y18	SLICEM.BFF	FDRE
bs_sr_reg[51]	SLICE_X182Y18	SLICEM.B5FF	FDRE
bs_sr_reg[52]	SLICE_X182Y18	SLICEM.CFF	FDRE
bs_sr_reg[53]	SLICE_X182Y18	SLICEM.C5FF	FDRE
bs_sr_reg[54]	SLICE_X182Y18	SLICEM.DFF	FDRE
bs_sr_reg[55]	SLICE_X182Y18	SLICEM.D5FF	FDRE
bs_sr_reg[56]	SLICE_X181Y19	SLICEL.AFF	FDRE
bs_sr_reg[57]	SLICE_X181Y19	SLICEL.A5FF	FDRE
bs_sr_reg[58]	SLICE_X181Y19	SLICEL.BFF	FDRE
bs_sr_reg[59]	SLICE_X181Y19	SLICEL.B5FF	FDRE
bs_sr_reg[5]	SLICE_X184Y23	SLICEM.CFF	FDSE
bs_sr_reg[60]	SLICE_X181Y19	SLICEL.CFF	FDRE
