net	pips	fanout
eth_n_1	1032	994
eth_rst_n_OBUF	158	34
firstbuf[0]	11	6
firstbuf[1]	13	5
firstbuf[2]	18	4
firstbuf[3]	11	3
firstbuf[4]	9	2
firstbuf[4]_i_1__0_n_0	11	5
havehi_reg_n_0	10	3
hb_reg[0]_i_1_n_0	1	1
hb_reg[12]_i_1_n_0	1	1
hb_reg[16]_i_1_n_0	1	1
hb_reg[20]_i_1_n_0	1	1
hb_reg[4]_i_1_n_0	1	1
hb_reg[8]_i_1_n_0	1	1
hb_reg_n_0_[0]	3	1
hb_reg_n_0_[10]	5	1
hb_reg_n_0_[11]	4	1
hb_reg_n_0_[12]	4	1
hb_reg_n_0_[13]	6	1
hb_reg_n_0_[14]	5	1
hb_reg_n_0_[15]	4	1
hb_reg_n_0_[16]	4	1
hb_reg_n_0_[17]	6	1
hb_reg_n_0_[18]	5	1
hb_reg_n_0_[19]	4	1
hb_reg_n_0_[1]	6	1
hb_reg_n_0_[20]	4	1
hb_reg_n_0_[21]	6	1
hb_reg_n_0_[22]	5	1
hb_reg_n_0_[23]	4	1
hb_reg_n_0_[24]	4	1
hb_reg_n_0_[2]	5	1
hb_reg_n_0_[3]	4	1
hb_reg_n_0_[4]	4	1
hb_reg_n_0_[5]	6	1
hb_reg_n_0_[6]	5	1
hb_reg_n_0_[7]	4	1
hb_reg_n_0_[8]	4	1
hb_reg_n_0_[9]	6	1
hexv_return[1]	5	1
hexv_return[2]	8	2
hexv_return[3]	11	3
hinib[3]_i_1_n_0	11	4
hinib[3]_i_3_n_0	8	3
hinib[3]_i_4_n_0	8	2
hinib[3]_i_5_n_0	27	9
hinib[3]_i_6_n_0	5	2
hinib__0[0]	8	2
hinib__0[1]	8	2
hinib__0[2]	10	2
hinib__0[3]	7	2
in16[10]	4	1
in16[11]	4	1
in16[12]	4	1
in16[13]	5	1
in16[14]	6	1
in16[15]	6	1
in16[2]	4	1
in16[3]	4	1
in16[4]	5	1
in16[5]	5	1
in16[6]	4	1
in16[7]	4	1
in16[8]	4	1
in16[9]	5	1
in18[10]	5	1
in18[11]	5	1
in18[12]	5	1
in18[13]	4	1
in18[14]	4	1
in18[15]	5	1
in18[1]	4	1
in18[2]	5	1
in18[3]	5	1
in18[4]	4	1
in18[5]	4	1
in18[6]	5	1
in18[7]	5	1
in18[8]	4	1
in18[9]	5	1
in24[10]	4	1
in24[11]	3	1
in24[12]	3	1
in24[13]	3	1
in24[14]	4	1
in24[15]	4	1
in24[1]	5	1
in24[2]	5	1
in24[3]	3	1
in24[4]	4	1
in24[5]	5	1
in24[6]	4	1
in24[7]	3	1
in24[8]	3	1
in24[9]	5	1
led_OBUF[0]	29	1
led_OBUF[1]	31	1
led_OBUF[2]	50	1
led_OBUF[3]	46	1
led_OBUF[4]	21	1
led_OBUF[5]	10	2
led_OBUF[7]	24	2
mmcm_clkout0	6	1
mmcm_fb	2	1
nb[1]_i_2_n_0	5	1
nb_reg_n_0_[0]	29	11
nb_reg_n_0_[1]	29	10
p_0_in	90	35
padidx	23	15
padidx[14]_i_1_n_0	5	1
padidx[15]_i_3_n_0	26	8
padidx_reg[12]_i_2_n_0	1	1
padidx_reg[12]_i_3_n_0	1	1
padidx_reg[4]_i_2_n_0	1	1
padidx_reg[4]_i_3_n_0	1	1
padidx_reg[8]_i_2_n_0	1	1
padidx_reg[8]_i_3_n_0	1	1
padidx_reg_n_0_[10]	13	4
padidx_reg_n_0_[11]	12	4
padidx_reg_n_0_[12]	9	3
padidx_reg_n_0_[13]	10	4
padidx_reg_n_0_[14]	11	4
padidx_reg_n_0_[15]	13	4
padidx_reg_n_0_[1]	14	3
padidx_reg_n_0_[2]	15	5
padidx_reg_n_0_[3]	14	4
padidx_reg_n_0_[4]	13	4
padidx_reg_n_0_[5]	12	4
padidx_reg_n_0_[6]	12	4
padidx_reg_n_0_[7]	12	4
padidx_reg_n_0_[8]	13	4
padidx_reg_n_0_[9]	12	4
pcspma_status[0]	5	1
pcspma_status[1]	13	2
pcspma_status[2]	5	1
pcspma_status[3]	7	1
resetn_cnt0	48	6
resetn_cnt_reg[0]	19	8
resetn_cnt_reg[1]	19	8
resetn_cnt_reg[2]	20	8
resetn_cnt_reg[3]	18	8
resetn_cnt_reg[4]	18	8
resetn_cnt_reg[5]	20	8
rst_IBUF	25	2
rst_sync	349	299
rxbyte	25	8
rxbyte_reg_n_0_[0]	33	12
rxbyte_reg_n_0_[1]	26	11
rxbyte_reg_n_0_[2]	20	8
rxbyte_reg_n_0_[3]	13	5
rxbyte_reg_n_0_[4]	7	4
rxbyte_reg_n_0_[5]	7	3
rxbyte_reg_n_0_[6]	8	4
rxbyte_reg_n_0_[7]	9	4
rxd_addr[15]_i_1_n_0	12	7
rxd_addr[16]_i_1_n_0	31	15
rxd_addr[6]_i_1_n_0	6	1
rxd_addr_reg_n_0_[10]	4	1
rxd_addr_reg_n_0_[11]	4	1
rxd_addr_reg_n_0_[12]	4	1
rxd_addr_reg_n_0_[13]	4	1
