net	pips	fanout
eth/RAMB16_inst_rx/dout1[715]	8	1
eth/RAMB16_inst_rx/dout1[716]	8	1
eth/RAMB16_inst_rx/dout1[717]	9	1
eth/RAMB16_inst_rx/dout1[718]	9	1
eth/RAMB16_inst_rx/dout1[719]	9	1
eth/RAMB16_inst_rx/dout1[71]	9	1
eth/RAMB16_inst_rx/dout1[720]	8	1
eth/RAMB16_inst_rx/dout1[721]	8	1
eth/RAMB16_inst_rx/dout1[722]	8	1
eth/RAMB16_inst_rx/dout1[723]	9	1
eth/RAMB16_inst_rx/dout1[724]	8	1
eth/RAMB16_inst_rx/dout1[725]	8	1
eth/RAMB16_inst_rx/dout1[726]	9	1
eth/RAMB16_inst_rx/dout1[727]	8	1
eth/RAMB16_inst_rx/dout1[728]	8	1
eth/RAMB16_inst_rx/dout1[729]	9	1
eth/RAMB16_inst_rx/dout1[72]	7	1
eth/RAMB16_inst_rx/dout1[730]	9	1
eth/RAMB16_inst_rx/dout1[731]	6	1
eth/RAMB16_inst_rx/dout1[732]	7	1
eth/RAMB16_inst_rx/dout1[733]	6	1
eth/RAMB16_inst_rx/dout1[734]	6	1
eth/RAMB16_inst_rx/dout1[735]	10	1
eth/RAMB16_inst_rx/dout1[736]	7	1
eth/RAMB16_inst_rx/dout1[737]	9	1
eth/RAMB16_inst_rx/dout1[738]	7	1
eth/RAMB16_inst_rx/dout1[739]	7	1
eth/RAMB16_inst_rx/dout1[73]	8	1
eth/RAMB16_inst_rx/dout1[740]	7	1
eth/RAMB16_inst_rx/dout1[741]	8	1
eth/RAMB16_inst_rx/dout1[742]	8	1
eth/RAMB16_inst_rx/dout1[743]	7	1
eth/RAMB16_inst_rx/dout1[744]	9	1
eth/RAMB16_inst_rx/dout1[745]	7	1
eth/RAMB16_inst_rx/dout1[746]	8	1
eth/RAMB16_inst_rx/dout1[747]	7	1
eth/RAMB16_inst_rx/dout1[748]	8	1
eth/RAMB16_inst_rx/dout1[749]	8	1
eth/RAMB16_inst_rx/dout1[74]	8	1
eth/RAMB16_inst_rx/dout1[750]	7	1
eth/RAMB16_inst_rx/dout1[751]	7	1
eth/RAMB16_inst_rx/dout1[752]	7	1
eth/RAMB16_inst_rx/dout1[753]	8	1
eth/RAMB16_inst_rx/dout1[754]	6	1
eth/RAMB16_inst_rx/dout1[755]	7	1
eth/RAMB16_inst_rx/dout1[756]	8	1
eth/RAMB16_inst_rx/dout1[757]	9	1
eth/RAMB16_inst_rx/dout1[758]	7	1
eth/RAMB16_inst_rx/dout1[759]	7	1
eth/RAMB16_inst_rx/dout1[75]	8	1
eth/RAMB16_inst_rx/dout1[760]	7	1
eth/RAMB16_inst_rx/dout1[761]	6	1
eth/RAMB16_inst_rx/dout1[762]	6	1
eth/RAMB16_inst_rx/dout1[763]	8	1
eth/RAMB16_inst_rx/dout1[764]	8	1
eth/RAMB16_inst_rx/dout1[765]	8	1
eth/RAMB16_inst_rx/dout1[766]	8	1
eth/RAMB16_inst_rx/dout1[767]	6	1
eth/RAMB16_inst_rx/dout1[768]	7	1
eth/RAMB16_inst_rx/dout1[769]	7	1
eth/RAMB16_inst_rx/dout1[76]	8	1
eth/RAMB16_inst_rx/dout1[770]	8	1
eth/RAMB16_inst_rx/dout1[771]	8	1
eth/RAMB16_inst_rx/dout1[772]	8	1
eth/RAMB16_inst_rx/dout1[773]	9	1
eth/RAMB16_inst_rx/dout1[774]	8	1
eth/RAMB16_inst_rx/dout1[775]	8	1
eth/RAMB16_inst_rx/dout1[776]	7	1
eth/RAMB16_inst_rx/dout1[777]	8	1
eth/RAMB16_inst_rx/dout1[778]	7	1
eth/RAMB16_inst_rx/dout1[779]	8	1
eth/RAMB16_inst_rx/dout1[77]	7	1
eth/RAMB16_inst_rx/dout1[780]	8	1
eth/RAMB16_inst_rx/dout1[781]	8	1
eth/RAMB16_inst_rx/dout1[782]	8	1
eth/RAMB16_inst_rx/dout1[783]	8	1
eth/RAMB16_inst_rx/dout1[784]	8	1
eth/RAMB16_inst_rx/dout1[785]	7	1
eth/RAMB16_inst_rx/dout1[786]	7	1
eth/RAMB16_inst_rx/dout1[787]	8	1
eth/RAMB16_inst_rx/dout1[788]	9	1
eth/RAMB16_inst_rx/dout1[789]	7	1
eth/RAMB16_inst_rx/dout1[78]	8	1
eth/RAMB16_inst_rx/dout1[790]	7	1
eth/RAMB16_inst_rx/dout1[791]	7	1
eth/RAMB16_inst_rx/dout1[792]	8	1
eth/RAMB16_inst_rx/dout1[793]	8	1
eth/RAMB16_inst_rx/dout1[794]	8	1
eth/RAMB16_inst_rx/dout1[795]	6	1
eth/RAMB16_inst_rx/dout1[796]	6	1
eth/RAMB16_inst_rx/dout1[797]	6	1
eth/RAMB16_inst_rx/dout1[798]	7	1
eth/RAMB16_inst_rx/dout1[799]	8	1
eth/RAMB16_inst_rx/dout1[79]	9	1
eth/RAMB16_inst_rx/dout1[7]	5	1
eth/RAMB16_inst_rx/dout1[800]	7	1
eth/RAMB16_inst_rx/dout1[801]	10	1
eth/RAMB16_inst_rx/dout1[802]	8	1
eth/RAMB16_inst_rx/dout1[803]	9	1
eth/RAMB16_inst_rx/dout1[804]	7	1
eth/RAMB16_inst_rx/dout1[805]	8	1
eth/RAMB16_inst_rx/dout1[806]	7	1
eth/RAMB16_inst_rx/dout1[807]	8	1
eth/RAMB16_inst_rx/dout1[808]	8	1
eth/RAMB16_inst_rx/dout1[809]	8	1
eth/RAMB16_inst_rx/dout1[80]	11	1
eth/RAMB16_inst_rx/dout1[810]	8	1
eth/RAMB16_inst_rx/dout1[811]	7	1
eth/RAMB16_inst_rx/dout1[812]	9	1
eth/RAMB16_inst_rx/dout1[813]	9	1
eth/RAMB16_inst_rx/dout1[814]	8	1
eth/RAMB16_inst_rx/dout1[815]	8	1
eth/RAMB16_inst_rx/dout1[816]	7	1
eth/RAMB16_inst_rx/dout1[817]	7	1
eth/RAMB16_inst_rx/dout1[818]	9	1
eth/RAMB16_inst_rx/dout1[819]	8	1
eth/RAMB16_inst_rx/dout1[81]	9	1
eth/RAMB16_inst_rx/dout1[820]	9	1
eth/RAMB16_inst_rx/dout1[821]	8	1
eth/RAMB16_inst_rx/dout1[822]	8	1
eth/RAMB16_inst_rx/dout1[823]	8	1
eth/RAMB16_inst_rx/dout1[824]	7	1
eth/RAMB16_inst_rx/dout1[825]	8	1
eth/RAMB16_inst_rx/dout1[826]	8	1
eth/RAMB16_inst_rx/dout1[827]	8	1
eth/RAMB16_inst_rx/dout1[828]	7	1
eth/RAMB16_inst_rx/dout1[829]	8	1
eth/RAMB16_inst_rx/dout1[82]	9	1
eth/RAMB16_inst_rx/dout1[830]	8	1
eth/RAMB16_inst_rx/dout1[831]	7	1
eth/RAMB16_inst_rx/dout1[832]	8	1
eth/RAMB16_inst_rx/dout1[833]	8	1
eth/RAMB16_inst_rx/dout1[834]	7	1
eth/RAMB16_inst_rx/dout1[835]	8	1
eth/RAMB16_inst_rx/dout1[836]	9	1
eth/RAMB16_inst_rx/dout1[837]	9	1
eth/RAMB16_inst_rx/dout1[838]	9	1
eth/RAMB16_inst_rx/dout1[839]	10	1
eth/RAMB16_inst_rx/dout1[83]	7	1
eth/RAMB16_inst_rx/dout1[840]	10	1
eth/RAMB16_inst_rx/dout1[841]	10	1
eth/RAMB16_inst_rx/dout1[842]	8	1
eth/RAMB16_inst_rx/dout1[843]	8	1
eth/RAMB16_inst_rx/dout1[844]	9	1
eth/RAMB16_inst_rx/dout1[845]	9	1
eth/RAMB16_inst_rx/dout1[846]	8	1
eth/RAMB16_inst_rx/dout1[847]	9	1
eth/RAMB16_inst_rx/dout1[848]	5	1
eth/RAMB16_inst_rx/dout1[849]	10	1
eth/RAMB16_inst_rx/dout1[84]	8	1
eth/RAMB16_inst_rx/dout1[850]	10	1
eth/RAMB16_inst_rx/dout1[851]	8	1
eth/RAMB16_inst_rx/dout1[852]	9	1
eth/RAMB16_inst_rx/dout1[853]	8	1
eth/RAMB16_inst_rx/dout1[854]	9	1
eth/RAMB16_inst_rx/dout1[855]	8	1
eth/RAMB16_inst_rx/dout1[856]	8	1
eth/RAMB16_inst_rx/dout1[857]	8	1
eth/RAMB16_inst_rx/dout1[858]	9	1
eth/RAMB16_inst_rx/dout1[859]	7	1
eth/RAMB16_inst_rx/dout1[85]	7	1
eth/RAMB16_inst_rx/dout1[860]	7	1
eth/RAMB16_inst_rx/dout1[861]	8	1
eth/RAMB16_inst_rx/dout1[862]	7	1
eth/RAMB16_inst_rx/dout1[863]	9	1
eth/RAMB16_inst_rx/dout1[864]	8	1
eth/RAMB16_inst_rx/dout1[865]	7	1
eth/RAMB16_inst_rx/dout1[866]	7	1
eth/RAMB16_inst_rx/dout1[867]	7	1
eth/RAMB16_inst_rx/dout1[868]	7	1
eth/RAMB16_inst_rx/dout1[869]	7	1
eth/RAMB16_inst_rx/dout1[86]	8	1
eth/RAMB16_inst_rx/dout1[870]	7	1
eth/RAMB16_inst_rx/dout1[871]	8	1
eth/RAMB16_inst_rx/dout1[872]	8	1
eth/RAMB16_inst_rx/dout1[873]	8	1
eth/RAMB16_inst_rx/dout1[874]	8	1
eth/RAMB16_inst_rx/dout1[875]	7	1
eth/RAMB16_inst_rx/dout1[876]	7	1
eth/RAMB16_inst_rx/dout1[877]	8	1
eth/RAMB16_inst_rx/dout1[878]	7	1
eth/RAMB16_inst_rx/dout1[879]	7	1
eth/RAMB16_inst_rx/dout1[87]	8	1
eth/RAMB16_inst_rx/dout1[880]	7	1
eth/RAMB16_inst_rx/dout1[881]	8	1
eth/RAMB16_inst_rx/dout1[882]	8	1
eth/RAMB16_inst_rx/dout1[883]	7	1
eth/RAMB16_inst_rx/dout1[884]	8	1
eth/RAMB16_inst_rx/dout1[885]	8	1
eth/RAMB16_inst_rx/dout1[886]	7	1
eth/RAMB16_inst_rx/dout1[887]	8	1
eth/RAMB16_inst_rx/dout1[888]	7	1
eth/RAMB16_inst_rx/dout1[889]	6	1
eth/RAMB16_inst_rx/dout1[88]	9	1
eth/RAMB16_inst_rx/dout1[890]	7	1
eth/RAMB16_inst_rx/dout1[891]	8	1
eth/RAMB16_inst_rx/dout1[892]	7	1
eth/RAMB16_inst_rx/dout1[893]	9	1
eth/RAMB16_inst_rx/dout1[894]	8	1
eth/RAMB16_inst_rx/dout1[895]	6	1
eth/RAMB16_inst_rx/dout1[896]	8	1
eth/RAMB16_inst_rx/dout1[897]	7	1
eth/RAMB16_inst_rx/dout1[898]	8	1
eth/RAMB16_inst_rx/dout1[899]	7	1
eth/RAMB16_inst_rx/dout1[89]	9	1
eth/RAMB16_inst_rx/dout1[8]	5	1
eth/RAMB16_inst_rx/dout1[900]	8	1
eth/RAMB16_inst_rx/dout1[901]	8	1
eth/RAMB16_inst_rx/dout1[902]	7	1
eth/RAMB16_inst_rx/dout1[903]	8	1
eth/RAMB16_inst_rx/dout1[904]	8	1
eth/RAMB16_inst_rx/dout1[905]	9	1
eth/RAMB16_inst_rx/dout1[906]	7	1
eth/RAMB16_inst_rx/dout1[907]	7	1
eth/RAMB16_inst_rx/dout1[908]	7	1
eth/RAMB16_inst_rx/dout1[909]	8	1
eth/RAMB16_inst_rx/dout1[90]	8	1
eth/RAMB16_inst_rx/dout1[910]	7	1
eth/RAMB16_inst_rx/dout1[911]	8	1
eth/RAMB16_inst_rx/dout1[912]	6	1
eth/RAMB16_inst_rx/dout1[913]	8	1
eth/RAMB16_inst_rx/dout1[914]	8	1
eth/RAMB16_inst_rx/dout1[915]	8	1
eth/RAMB16_inst_rx/dout1[916]	8	1
eth/RAMB16_inst_rx/dout1[917]	7	1
eth/RAMB16_inst_rx/dout1[918]	8	1
eth/RAMB16_inst_rx/dout1[919]	8	1
eth/RAMB16_inst_rx/dout1[91]	9	1
eth/RAMB16_inst_rx/dout1[920]	7	1
eth/RAMB16_inst_rx/dout1[921]	7	1
eth/RAMB16_inst_rx/dout1[922]	8	1
eth/RAMB16_inst_rx/dout1[923]	8	1
eth/RAMB16_inst_rx/dout1[924]	7	1
eth/RAMB16_inst_rx/dout1[925]	7	1
eth/RAMB16_inst_rx/dout1[926]	7	1
eth/RAMB16_inst_rx/dout1[927]	7	1
eth/RAMB16_inst_rx/dout1[928]	8	1
eth/RAMB16_inst_rx/dout1[929]	10	1
eth/RAMB16_inst_rx/dout1[92]	7	1
eth/RAMB16_inst_rx/dout1[930]	10	1
eth/RAMB16_inst_rx/dout1[931]	8	1
eth/RAMB16_inst_rx/dout1[932]	8	1
eth/RAMB16_inst_rx/dout1[933]	10	1
eth/RAMB16_inst_rx/dout1[934]	8	1
eth/RAMB16_inst_rx/dout1[935]	8	1
eth/RAMB16_inst_rx/dout1[936]	10	1
eth/RAMB16_inst_rx/dout1[937]	10	1
eth/RAMB16_inst_rx/dout1[938]	11	1
eth/RAMB16_inst_rx/dout1[939]	10	1
eth/RAMB16_inst_rx/dout1[93]	8	1
eth/RAMB16_inst_rx/dout1[940]	10	1
eth/RAMB16_inst_rx/dout1[941]	8	1
eth/RAMB16_inst_rx/dout1[942]	9	1
eth/RAMB16_inst_rx/dout1[943]	8	1
eth/RAMB16_inst_rx/dout1[944]	9	1
eth/RAMB16_inst_rx/dout1[945]	9	1
eth/RAMB16_inst_rx/dout1[946]	10	1
eth/RAMB16_inst_rx/dout1[947]	10	1
eth/RAMB16_inst_rx/dout1[948]	10	1
eth/RAMB16_inst_rx/dout1[949]	9	1
eth/RAMB16_inst_rx/dout1[94]	7	1
eth/RAMB16_inst_rx/dout1[950]	8	1
eth/RAMB16_inst_rx/dout1[951]	9	1
eth/RAMB16_inst_rx/dout1[952]	10	1
eth/RAMB16_inst_rx/dout1[953]	10	1
eth/RAMB16_inst_rx/dout1[954]	9	1
eth/RAMB16_inst_rx/dout1[955]	8	1
eth/RAMB16_inst_rx/dout1[956]	8	1
eth/RAMB16_inst_rx/dout1[957]	8	1
eth/RAMB16_inst_rx/dout1[958]	9	1
eth/RAMB16_inst_rx/dout1[959]	9	1
eth/RAMB16_inst_rx/dout1[95]	7	1
eth/RAMB16_inst_rx/dout1[960]	9	1
eth/RAMB16_inst_rx/dout1[961]	9	1
eth/RAMB16_inst_rx/dout1[962]	9	1
eth/RAMB16_inst_rx/dout1[963]	9	1
eth/RAMB16_inst_rx/dout1[964]	6	1
eth/RAMB16_inst_rx/dout1[965]	6	1
eth/RAMB16_inst_rx/dout1[966]	6	1
eth/RAMB16_inst_rx/dout1[967]	6	1
eth/RAMB16_inst_rx/dout1[968]	7	1
eth/RAMB16_inst_rx/dout1[969]	6	1
eth/RAMB16_inst_rx/dout1[96]	7	1
eth/RAMB16_inst_rx/dout1[970]	6	1
eth/RAMB16_inst_rx/dout1[971]	7	1
eth/RAMB16_inst_rx/dout1[972]	7	1
eth/RAMB16_inst_rx/dout1[973]	6	1
eth/RAMB16_inst_rx/dout1[974]	6	1
eth/RAMB16_inst_rx/dout1[975]	6	1
eth/RAMB16_inst_rx/dout1[976]	8	1
eth/RAMB16_inst_rx/dout1[977]	6	1
eth/RAMB16_inst_rx/dout1[978]	7	1
eth/RAMB16_inst_rx/dout1[979]	6	1
eth/RAMB16_inst_rx/dout1[97]	8	1
eth/RAMB16_inst_rx/dout1[980]	8	1
eth/RAMB16_inst_rx/dout1[981]	7	1
eth/RAMB16_inst_rx/dout1[982]	7	1
eth/RAMB16_inst_rx/dout1[983]	6	1
eth/RAMB16_inst_rx/dout1[984]	6	1
eth/RAMB16_inst_rx/dout1[985]	7	1
eth/RAMB16_inst_rx/dout1[986]	7	1
eth/RAMB16_inst_rx/dout1[987]	9	1
eth/RAMB16_inst_rx/dout1[988]	9	1
eth/RAMB16_inst_rx/dout1[989]	9	1
eth/RAMB16_inst_rx/dout1[98]	8	1
eth/RAMB16_inst_rx/dout1[990]	9	1
eth/RAMB16_inst_rx/dout1[991]	6	1
eth/RAMB16_inst_rx/dout1[992]	6	1
eth/RAMB16_inst_rx/dout1[993]	5	1
eth/RAMB16_inst_rx/dout1[994]	5	1
eth/RAMB16_inst_rx/dout1[995]	5	1
eth/RAMB16_inst_rx/dout1[996]	5	1
eth/RAMB16_inst_rx/dout1[997]	6	1
eth/RAMB16_inst_rx/dout1[998]	6	1
eth/RAMB16_inst_rx/dout1[999]	7	1
eth/RAMB16_inst_rx/dout1[99]	7	1
eth/RAMB16_inst_rx/dout1[9]	6	1
eth/RAMB16_inst_rx/doutb[0]	6	1
eth/RAMB16_inst_rx/doutb[10]	7	1
eth/RAMB16_inst_rx/doutb[11]	6	1
eth/RAMB16_inst_rx/doutb[12]	8	1
eth/RAMB16_inst_rx/doutb[13]	8	1
eth/RAMB16_inst_rx/doutb[14]	7	1
eth/RAMB16_inst_rx/doutb[15]	7	1
eth/RAMB16_inst_rx/doutb[16]	6	1
eth/RAMB16_inst_rx/doutb[17]	6	1
eth/RAMB16_inst_rx/doutb[18]	7	1
eth/RAMB16_inst_rx/doutb[19]	7	1
eth/RAMB16_inst_rx/doutb[1]	7	1
eth/RAMB16_inst_rx/doutb[20]	6	1
eth/RAMB16_inst_rx/doutb[21]	7	1
eth/RAMB16_inst_rx/doutb[22]	7	1
eth/RAMB16_inst_rx/doutb[23]	6	1
eth/RAMB16_inst_rx/doutb[24]	7	1
eth/RAMB16_inst_rx/doutb[25]	6	1
eth/RAMB16_inst_rx/doutb[26]	6	1
eth/RAMB16_inst_rx/doutb[27]	6	1
eth/RAMB16_inst_rx/doutb[28]	7	1
eth/RAMB16_inst_rx/doutb[29]	7	1
eth/RAMB16_inst_rx/doutb[2]	7	1
eth/RAMB16_inst_rx/doutb[30]	7	1
eth/RAMB16_inst_rx/doutb[31]	7	1
eth/RAMB16_inst_rx/doutb[32]	7	1
eth/RAMB16_inst_rx/doutb[3]	8	1
eth/RAMB16_inst_rx/doutb[4]	6	1
eth/RAMB16_inst_rx/doutb[5]	6	1
eth/RAMB16_inst_rx/doutb[6]	7	1
eth/RAMB16_inst_rx/doutb[7]	7	1
eth/RAMB16_inst_rx/doutb[8]	7	1
eth/RAMB16_inst_rx/doutb[9]	7	1
eth/RAMB16_inst_rx/en1[16]	20	2
eth/RAMB16_inst_rx/en1[18]	21	2
eth/RAMB16_inst_rx/en1[20]	18	2
eth/RAMB16_inst_rx/en1[22]	17	2
eth/RAMB16_inst_rx/en1[24]	16	2
eth/RAMB16_inst_rx/en1[26]	22	2
eth/RAMB16_inst_rx/en1[28]	18	2
eth/RAMB16_inst_rx/en1[30]	22	2
eth/RAMB16_inst_rx/eth_clk	1032	994
eth/RAMB16_inst_rx/framing_rdata_pkt[11]	9	1
eth/RAMB16_inst_rx/framing_rdata_pkt[12]	8	1
eth/RAMB16_inst_rx/framing_rdata_pkt[13]	9	1
eth/RAMB16_inst_rx/framing_rdata_pkt[14]	7	1
eth/RAMB16_inst_rx/framing_rdata_pkt[15]	8	1
eth/RAMB16_inst_rx/framing_rdata_pkt[17]	8	1
eth/RAMB16_inst_rx/framing_rdata_pkt[18]	9	1
eth/RAMB16_inst_rx/framing_rdata_pkt[19]	9	1
eth/RAMB16_inst_rx/framing_rdata_pkt[20]	9	1
eth/RAMB16_inst_rx/framing_rdata_pkt[21]	8	1
eth/RAMB16_inst_rx/framing_rdata_pkt[22]	8	1
eth/RAMB16_inst_rx/framing_rdata_pkt[23]	9	1
eth/RAMB16_inst_rx/genblk1[0].RAMB16_S9_S36_inst_i_3__0_n_0	20	2
eth/RAMB16_inst_rx/genblk1[0].RAMB16_S9_S36_inst_i_4_n_0	23	4
eth/RAMB16_inst_rx/genblk1[10].RAMB16_S9_S36_inst_i_3_n_0	24	2
eth/RAMB16_inst_rx/genblk1[10].RAMB16_S9_S36_inst_i_4_n_0	24	4
eth/RAMB16_inst_rx/genblk1[11].RAMB16_S9_S36_inst_i_2_n_0	26	4
eth/RAMB16_inst_rx/genblk1[12].RAMB16_S9_S36_inst_i_3_n_0	19	2
eth/RAMB16_inst_rx/genblk1[12].RAMB16_S9_S36_inst_i_4_n_0	21	4
eth/RAMB16_inst_rx/genblk1[13].RAMB16_S9_S36_inst_i_2_n_0	26	4
eth/RAMB16_inst_rx/genblk1[14].RAMB16_S9_S36_inst_i_3_n_0	16	2
eth/RAMB16_inst_rx/genblk1[14].RAMB16_S9_S36_inst_i_4_n_0	25	4
eth/RAMB16_inst_rx/genblk1[15].RAMB16_S9_S36_inst_i_2_n_0	21	4
eth/RAMB16_inst_rx/genblk1[1].RAMB16_S9_S36_inst_0	72	25
eth/RAMB16_inst_rx/genblk1[1].RAMB16_S9_S36_inst_i_2_n_0	26	4
eth/RAMB16_inst_rx/genblk1[2].RAMB16_S9_S36_inst_i_3_n_0	22	2
eth/RAMB16_inst_rx/genblk1[2].RAMB16_S9_S36_inst_i_4_n_0	23	4
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[0]	90	35
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[10]	115	44
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[11]	125	52
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[12]	121	53
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[13]	134	53
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[14]	63	19
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[1]	256	55
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[2]	239	43
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[3]	242	43
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[4]	225	36
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[5]	217	35
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[6]	216	34
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[7]	214	34
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[8]	220	35
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_0[9]	226	36
eth/RAMB16_inst_rx/genblk1[3].RAMB16_S9_S36_inst_i_2_n_0	23	4
eth/RAMB16_inst_rx/genblk1[4].RAMB16_S9_S36_inst_i_3_n_0	19	2
eth/RAMB16_inst_rx/genblk1[4].RAMB16_S9_S36_inst_i_4_n_0	23	4
eth/RAMB16_inst_rx/genblk1[5].RAMB16_S9_S36_inst_i_2_n_0	25	4
eth/RAMB16_inst_rx/genblk1[6].RAMB16_S9_S36_inst_i_3_n_0	18	2
eth/RAMB16_inst_rx/genblk1[6].RAMB16_S9_S36_inst_i_4_n_0	22	4
eth/RAMB16_inst_rx/genblk1[7].RAMB16_S9_S36_inst_i_2_n_0	21	4
eth/RAMB16_inst_rx/genblk1[8].RAMB16_S9_S36_inst_i_3_n_0	16	2
eth/RAMB16_inst_rx/genblk1[8].RAMB16_S9_S36_inst_i_4_n_0	22	4
eth/RAMB16_inst_rx/genblk1[9].RAMB16_S9_S36_inst_i_2_n_0	26	4
eth/RAMB16_inst_rx/promiscuous_i_2	6	3
eth/RAMB16_inst_rx/rx_axis_tdata[0]	158	33
eth/RAMB16_inst_rx/rx_axis_tdata[1]	165	33
eth/RAMB16_inst_rx/rx_axis_tdata[2]	169	33
eth/RAMB16_inst_rx/rx_axis_tdata[3]	157	33
eth/RAMB16_inst_rx/rx_axis_tdata[4]	155	33
eth/RAMB16_inst_rx/rx_axis_tdata[5]	160	33
eth/RAMB16_inst_rx/rx_axis_tdata[6]	157	33
eth/RAMB16_inst_rx/rx_axis_tdata[7]	162	33
eth/RAMB16_inst_rx/we0[0]	8	1
eth/RAMB16_inst_rx/we0[10]	6	1
eth/RAMB16_inst_rx/we0[11]	7	1
eth/RAMB16_inst_rx/we0[12]	6	1
eth/RAMB16_inst_rx/we0[13]	10	1
eth/RAMB16_inst_rx/we0[14]	6	1
eth/RAMB16_inst_rx/we0[15]	7	1
eth/RAMB16_inst_rx/we0[1]	6	1
eth/RAMB16_inst_rx/we0[2]	8	1
eth/RAMB16_inst_rx/we0[3]	8	1
eth/RAMB16_inst_rx/we0[4]	6	1
eth/RAMB16_inst_rx/we0[5]	7	1
eth/RAMB16_inst_rx/we0[6]	6	1
eth/RAMB16_inst_rx/we0[7]	7	1
eth/RAMB16_inst_rx/we0[8]	6	1
eth/RAMB16_inst_rx/we0[9]	6	1
eth/RAMB16_inst_rx/we1[16]	27	4
eth/RAMB16_inst_rx/we1[17]	23	4
eth/RAMB16_inst_rx/we1[18]	27	4
eth/RAMB16_inst_rx/we1[19]	22	4
eth/RAMB16_inst_rx/we1[20]	25	4
eth/RAMB16_inst_rx/we1[21]	23	4
eth/RAMB16_inst_rx/we1[22]	25	4
eth/RAMB16_inst_rx/we1[23]	26	4
eth/RAMB16_inst_rx/we1[24]	22	4
eth/RAMB16_inst_rx/we1[25]	26	4
eth/RAMB16_inst_rx/we1[26]	22	4
eth/RAMB16_inst_rx/we1[27]	23	4
eth/RAMB16_inst_rx/we1[28]	21	4
eth/RAMB16_inst_rx/we1[29]	28	4
eth/RAMB16_inst_rx/we1[30]	28	4
eth/RAMB16_inst_rx/we1[31]	22	4
eth/RAMB16_inst_tx/<const0>	6614	34
eth/RAMB16_inst_tx/D[0]	171	36
eth/RAMB16_inst_tx/D[10]	160	35
eth/RAMB16_inst_tx/D[11]	159	35
eth/RAMB16_inst_tx/D[12]	165	35
eth/RAMB16_inst_tx/D[13]	164	35
eth/RAMB16_inst_tx/D[14]	182	35
eth/RAMB16_inst_tx/D[15]	170	35
eth/RAMB16_inst_tx/D[16]	200	40
eth/RAMB16_inst_tx/D[17]	192	40
eth/RAMB16_inst_tx/D[18]	198	40
eth/RAMB16_inst_tx/D[19]	186	39
eth/RAMB16_inst_tx/D[1]	171	36
eth/RAMB16_inst_tx/D[20]	191	39
eth/RAMB16_inst_tx/D[21]	173	37
eth/RAMB16_inst_tx/D[22]	179	37
eth/RAMB16_inst_tx/D[23]	190	37
eth/RAMB16_inst_tx/D[24]	180	37
eth/RAMB16_inst_tx/D[25]	187	37
eth/RAMB16_inst_tx/D[26]	177	37
eth/RAMB16_inst_tx/D[27]	171	36
eth/RAMB16_inst_tx/D[28]	178	36
eth/RAMB16_inst_tx/D[29]	178	36
eth/RAMB16_inst_tx/D[2]	169	36
eth/RAMB16_inst_tx/D[30]	176	36
eth/RAMB16_inst_tx/D[31]	181	36
eth/RAMB16_inst_tx/D[3]	179	36
eth/RAMB16_inst_tx/D[4]	173	36
eth/RAMB16_inst_tx/D[5]	174	36
eth/RAMB16_inst_tx/D[6]	175	36
eth/RAMB16_inst_tx/D[7]	175	36
eth/RAMB16_inst_tx/D[8]	171	35
eth/RAMB16_inst_tx/D[9]	155	35
eth/RAMB16_inst_tx/GND_2	6614	80
eth/RAMB16_inst_tx/Q[0]	90	35
eth/RAMB16_inst_tx/Q[10]	115	44
eth/RAMB16_inst_tx/Q[11]	125	52
eth/RAMB16_inst_tx/Q[12]	121	53
eth/RAMB16_inst_tx/Q[13]	134	53
eth/RAMB16_inst_tx/Q[14]	63	19
eth/RAMB16_inst_tx/Q[1]	256	55
eth/RAMB16_inst_tx/Q[2]	239	43
eth/RAMB16_inst_tx/Q[3]	242	43
eth/RAMB16_inst_tx/Q[4]	225	36
eth/RAMB16_inst_tx/Q[5]	217	35
eth/RAMB16_inst_tx/Q[6]	216	34
eth/RAMB16_inst_tx/Q[7]	214	34
eth/RAMB16_inst_tx/Q[8]	220	35
eth/RAMB16_inst_tx/Q[9]	226	36
eth/RAMB16_inst_tx/VCC_1	5326	20
eth/RAMB16_inst_tx/bm_rdata[31]_i_5_n_0	6	1
